"id","status","template_id","accession_number","attempts","created_at"
20,completed,100,"512693",2,2022-06-06 12:28:27.883 +0930
21,completed,100,"512695",2,2022-06-06 12:34:46.393 +0930
30,completed,100,"512818",4,2022-06-07 09:16:59.218 +0930
67,completed,100,"513281",2,2022-06-09 12:20:57.114 +0930
31,completed,100,"512827",4,2022-06-07 09:34:55.527 +0930
29,completed,100,"512802",5,2022-06-07 08:50:11.959 +0930
33,completed,99,"512840",3,2022-06-07 10:03:39.421 +0930
22,completed,100,"512707",3,2022-06-06 13:18:57.379 +0930
16,failed,14,"512603",8,2022-06-03 17:30:22.790 +0930
75,completed,100,"513450",2,2022-06-10 12:29:07.609 +0930
74,completed,110,"513448",3,2022-06-10 12:19:41.469 +0930
439,completed,100,"516951",3,2022-07-08 12:18:26.448 +0930
23,completed,100,"512725",2,2022-06-06 13:50:36.320 +0930
56,completed,100,"513158",3,2022-06-08 15:25:42.164 +0930
44,completed,110,"512994",3,2022-06-07 16:51:36.484 +0930
24,completed,100,"512765",2,2022-06-06 15:49:59.142 +0930
4,failed,85,"512591",8,2022-06-03 16:44:36.228 +0930
35,completed,100,"512917",2,2022-06-07 13:38:06.680 +0930
107,completed,100,"513861",2,2022-06-15 14:05:35.936 +0930
25,completed,100,"512774",1,2022-06-06 16:23:53.125 +0930
37,failed,100,"512927",8,2022-06-07 14:02:45.276 +0930
57,completed,100,"513170",3,2022-06-08 15:47:07.452 +0930
39,failed,110,"512949",8,2022-06-07 15:00:18.098 +0930
3,failed,106,"512590",8,2022-06-03 16:42:37.837 +0930
2,failed,29,"512589",8,2022-06-03 16:38:40.516 +0930
14,failed,19,"512601",8,2022-06-03 17:24:04.156 +0930
43,failed,99,"512980",8,2022-06-07 16:04:37.940 +0930
5,failed,135,"512592",8,2022-06-03 16:50:19.560 +0930
8,failed,64,"512595",8,2022-06-03 17:05:49.061 +0930
6,failed,135,"512593",8,2022-06-03 17:01:48.103 +0930
15,failed,79,"512602",8,2022-06-03 17:28:20.134 +0930
10,failed,76,"512597",8,2022-06-03 17:10:25.540 +0930
7,failed,36,"512594",8,2022-06-03 17:04:52.541 +0930
11,failed,135,"512598",8,2022-06-03 17:11:16.988 +0930
1,failed,73,"512588",8,2022-06-03 16:35:41.358 +0930
34,completed,100,"512914",3,2022-06-07 13:33:25.728 +0930
36,completed,100,"512922",2,2022-06-07 13:54:11.383 +0930
13,failed,119,"512600",8,2022-06-03 17:23:49.635 +0930
12,failed,140,"512599",8,2022-06-03 17:17:31.250 +0930
27,completed,100,"512778",2,2022-06-06 16:32:59.939 +0930
109,completed,100,"513878",1,2022-06-15 15:15:32.430 +0930
89,completed,100,"513667",1,2022-06-14 13:23:06.154 +0930
112,failed,96,"513888",8,2022-06-15 15:52:35.390 +0930
26,completed,100,"512776",3,2022-06-06 16:29:07.470 +0930
28,completed,100,"512786",3,2022-06-06 16:56:22.147 +0930
58,completed,100,"513179",3,2022-06-08 16:10:26.784 +0930
17,completed,100,"512644",3,2022-06-06 10:16:37.092 +0930
59,completed,100,"513183",2,2022-06-08 16:28:34.885 +0930
47,completed,110,"513027",1,2022-06-08 09:48:55.953 +0930
77,completed,110,"513477",4,2022-06-10 13:42:14.324 +0930
46,completed,100,"513020",3,2022-06-08 09:30:35.045 +0930
38,completed,100,"512944",2,2022-06-07 14:47:43.331 +0930
18,completed,100,"512662",3,2022-06-06 10:40:29.955 +0930
54,failed,100,"513146",8,2022-06-08 14:42:56.262 +0930
110,completed,110,"513884",3,2022-06-15 15:37:13.444 +0930
69,completed,100,"513349",3,2022-06-09 15:54:22.224 +0930
19,completed,100,"512682",2,2022-06-06 11:59:56.793 +0930
60,completed,99,"513205",3,2022-06-09 09:04:45.865 +0930
98,completed,100,"513752",2,2022-06-14 17:43:12.410 +0930
49,completed,100,"513054",2,2022-06-08 10:21:10.045 +0930
48,completed,100,"513038",3,2022-06-08 10:04:29.656 +0930
82,completed,100,"513591",4,2022-06-14 10:07:47.147 +0930
78,completed,100,"513551",2,2022-06-10 17:40:55.683 +0930
76,failed,99,"513472",8,2022-06-10 13:37:40.167 +0930
116,completed,99,"513943",3,2022-06-16 10:25:07.682 +0930
50,completed,100,"513107",2,2022-06-08 12:18:53.592 +0930
32,completed,100,"512826",2,2022-06-07 09:34:55.527 +0930
85,completed,100,"513614",2,2022-06-14 10:58:10.543 +0930
40,completed,100,"512952",3,2022-06-07 15:05:56.972 +0930
79,completed,100,"513562",2,2022-06-14 09:09:19.429 +0930
62,completed,100,"513233",2,2022-06-09 09:53:47.342 +0930
51,completed,100,"513133",2,2022-06-08 14:04:31.650 +0930
108,failed,96,"513875",8,2022-06-15 14:58:50.183 +0930
104,failed,99,"513816",8,2022-06-15 11:26:38.072 +0930
41,completed,110,"512956",3,2022-06-07 15:17:22.348 +0930
52,completed,100,"513135",2,2022-06-08 14:14:35.556 +0930
84,completed,100,"513610",3,2022-06-14 10:50:54.931 +0930
90,completed,100,"513678",3,2022-06-14 14:00:38.575 +0930
42,completed,100,"512962",3,2022-06-07 15:37:59.542 +0930
111,failed,96,"513886",8,2022-06-15 15:42:02.719 +0930
113,completed,96,"513894",5,2022-06-15 16:15:03.475 +0930
64,completed,100,"513241",2,2022-06-09 10:07:21.363 +0930
61,completed,100,"513224",4,2022-06-09 09:34:07.304 +0930
63,completed,110,"513240",3,2022-06-09 10:07:02.433 +0930
114,completed,100,"513936",2,2022-06-16 10:10:58.558 +0930
68,failed,100,"513322",8,2022-06-09 14:51:36.769 +0930
